Issue Type,Issue key,Assignee,Status,Priority,Updated
Sub-task,RBTWS-17826,gil9red,Resolved,Ordinary,30-05-2017 15:55
Task,RBTWS-18357,gil9red,Closed,Ordinary,23-05-2017 12:17
Task,RBTWS-18356,gil9red,Closed,Ordinary,19-05-2017 11:06
Question,RBTWS-18340,gil9red,Closed,Ordinary,17-05-2017 16:10
Bug,STTXS-213,gil9red,Resolved,Moderate/Major,17-05-2017 09:50
Task,RBTWS-16839,gil9red,Resolved,Ordinary,03-05-2017 16:57
Task,RBTWS-17260,gil9red,Closed,Ordinary,14-04-2017 11:45
Bug,RBTWS-17824,gil9red,Resolved,Moderate/Major,14-04-2017 11:08
Task,RBTWS-16424,gil9red,Closed,Ordinary,07-04-2017 12:08
Bug,RBTWS-13014,gil9red,Closed,Ordinary,07-04-2017 12:08
Task,RBTWS-11089,gil9red,Resolved,Ordinary,07-04-2017 12:07
New Feature,TTOP-115,gil9red,Closed,Ordinary,30-03-2017 16:40
Task,RBTWS-17682,gil9red,Closed,Ordinary,30-03-2017 15:52
Task,RBTWS-14074,gil9red,Resolved,Ordinary,16-03-2017 22:08
Task,RBTWS-12160,gil9red,Resolved,Ordinary,22-02-2017 10:44
Task,RBTWS-11332,gil9red,Resolved,Ordinary,22-02-2017 10:44
Task,STTXS-201,gil9red,Closed,Moderate/Major,17-02-2017 16:45
Question,STTXS-204,gil9red,Closed,Moderate/Major,16-02-2017 15:10
Bug,STTXS-192,gil9red,Resolved,Moderate/Major,16-02-2017 13:01
Bug,RBTWS-6231,gil9red,Closed,Info Request/Minor,03-02-2017 10:52
Bug,RBTWS-7330,gil9red,Closed,Ordinary,26-01-2017 18:00
Bug,TTOP-114,gil9red,Resolved,Ordinary,11-01-2017 13:51
Task,TTOP-30,gil9red,Resolved,Ordinary,11-01-2017 12:06
Bug,TTOP-34,gil9red,Closed,Ordinary,11-01-2017 10:39
Bug,TTOP-35,gil9red,Closed,Ordinary,11-01-2017 09:58
Bug,TTOP-36,gil9red,Closed,Ordinary,10-01-2017 16:37
Bug,RBTWS-15318,gil9red,Closed,Ordinary,30-12-2016 13:57
Question,RBTWS-15904,gil9red,Closed,Ordinary,23-12-2016 15:13
Task,TTOP-112,gil9red,Resolved,Ordinary,16-12-2016 14:14
Bug,TTOP-108,gil9red,Resolved,Ordinary,16-12-2016 10:19
Task,RBTWS-15924,gil9red,Closed,Ordinary,06-12-2016 18:18
Task,STTXS-206,gil9red,Resolved,Ordinary,29-11-2016 14:02
Task,RBTWS-15624,gil9red,Closed,Ordinary,21-11-2016 14:35
Task,STTXS-182,gil9red,Resolved,Moderate/Major,15-11-2016 15:08
Question,RBTWS-15129,gil9red,Closed,Info Request/Minor,09-11-2016 15:59
Task,RBTWS-11816,gil9red,Closed,Ordinary,14-10-2016 09:54
New Feature,TTOP-57,gil9red,Resolved,Ordinary,07-10-2016 17:33
Bug,RBTWS-14300,gil9red,Closed,Ordinary,06-10-2016 13:49
